product_id,source_kind,filename,url,local_path,already_existed,selected_for_cube_file_list
OPERA_L2_RTC-S1_T014-028627-IW2_20220930T155650Z_20250219T144015Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220930T155650Z_20250219T144015Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220930T155650Z_20250219T144015Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220930T155650Z_20250219T144015Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220918T155649Z_20250218T164148Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220918T155649Z_20250218T164148Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220918T155649Z_20250218T164148Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220918T155649Z_20250218T164148Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220906T155649Z_20250217T210513Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220906T155649Z_20250217T210513Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220906T155649Z_20250217T210513Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220906T155649Z_20250217T210513Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220825T155648Z_20250217T013258Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220825T155648Z_20250217T013258Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220825T155648Z_20250217T013258Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220825T155648Z_20250217T013258Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220813T155648Z_20250216T073642Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220813T155648Z_20250216T073642Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220813T155648Z_20250216T073642Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220813T155648Z_20250216T073642Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220801T155647Z_20250215T130340Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220801T155647Z_20250215T130340Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220801T155647Z_20250215T130340Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220801T155647Z_20250215T130340Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220720T155646Z_20250107T214124Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220720T155646Z_20250107T214124Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220720T155646Z_20250107T214124Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220720T155646Z_20250107T214124Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220708T155646Z_20250117T023544Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220708T155646Z_20250117T023544Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220708T155646Z_20250117T023544Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220708T155646Z_20250117T023544Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220626T155645Z_20250116T185310Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220626T155645Z_20250116T185310Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220626T155645Z_20250116T185310Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220626T155645Z_20250116T185310Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220614T155644Z_20250115T214349Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220614T155644Z_20250115T214349Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220614T155644Z_20250115T214349Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220614T155644Z_20250115T214349Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220602T155643Z_20250116T131059Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220602T155643Z_20250116T131059Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220602T155643Z_20250116T131059Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220602T155643Z_20250116T131059Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220521T155642Z_20250113T231807Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220521T155642Z_20250113T231807Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220521T155642Z_20250113T231807Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220521T155642Z_20250113T231807Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220509T155641Z_20241231T060913Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220509T155641Z_20241231T060913Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220509T155641Z_20241231T060913Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220509T155641Z_20241231T060913Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220427T155641Z_20241229T234906Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220427T155641Z_20241229T234906Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220427T155641Z_20241229T234906Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220427T155641Z_20241229T234906Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220415T155640Z_20241228T170925Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220415T155640Z_20241228T170925Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220415T155640Z_20241228T170925Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220415T155640Z_20241228T170925Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220403T155640Z_20241227T104017Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220403T155640Z_20241227T104017Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220403T155640Z_20241227T104017Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220403T155640Z_20241227T104017Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220322T155640Z_20241226T040412Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220322T155640Z_20241226T040412Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220322T155640Z_20241226T040412Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220322T155640Z_20241226T040412Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220310T155640Z_20241225T001609Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220310T155640Z_20241225T001609Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220310T155640Z_20241225T001609Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220310T155640Z_20241225T001609Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20220226T155640Z_20241224T071155Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20220226T155640Z_20241224T071155Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20220226T155640Z_20241224T071155Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20220226T155640Z_20241224T071155Z_S1A_30_v1.0_VH.tif,False,True
